名称,原名称,年代,地址,批次,等级,经度,纬度,API返回地址,匹配方式,精度,状态,搜索关键词,Longitude,Latitude,经度偏移,纬度偏移
居民住宅,黄陂村8号,1917,武汉市黄陂村8号,第九批,二级,114.299757,30.588105,武汉市江岸区 - CKY古着屋Vintage(黎黄陂路黄陂村8号) [POI],POI,精确,成功,黄陂村8号,114.29432009201876,30.59052580702452,0.00543690798123464,-0.0024208070245208546
居民住宅,日本东京建筑株式会社旧址,1909,武汉市长春街73-75号,第九批,二级,114.310011,30.606985,武汉市江岸区 - 湖北省武汉市江岸区长春街73附1号,geocode,精确,成功,武汉市长春街73-75号,114.30455844706756,30.609380945282187,0.005452552932439403,-0.002395945282184897
汉口人家,李石樵公馆,1932,武汉市中山大道1622号,第九批,二级,114.310875,30.607686,武汉市江岸区 - 湖北省武汉市江岸区中山大道1622号,geocode,精确,成功,武汉市中山大道1622号,114.3054211113449,30.610080115230044,0.0054538886550972165,-0.00239411523004307
居民住宅,日本教师住宅,约民国初期,武汉市中山大道1622号,第九批,二级,114.310875,30.607686,武汉市江岸区 - 湖北省武汉市江岸区中山大道1622号,geocode,精确,成功,武汉市中山大道1622号,114.3054211113449,30.610080115230044,0.0054538886550972165,-0.00239411523004307
汉口人家,夏斗寅汉口公馆,约1931年,武汉市中山大道1622号,第九批,二级,114.310875,30.607686,武汉市江岸区 - 湖北省武汉市江岸区中山大道1622号,geocode,精确,成功,武汉市中山大道1622号,114.3054211113449,30.610080115230044,0.0054538886550972165,-0.00239411523004307
三德里,三德里,约1901年,武汉市中山大道875号,第九批,二级,114.29999,30.591572,武汉市江岸区 - 湖北省武汉市江岸区中山大道875号,geocode,精确,成功,武汉市中山大道875号,114.29455250043549,30.593991101041407,0.005437499564507675,-0.002419101041407856
泰安里,泰安里,民国时期,武汉市江岸区汇通路3号,第九批,二级,114.297358,30.59023,武汉市江岸区 - 湖北省武汉市江岸区汇通路3号,geocode,精确,成功,武汉市江岸区汇通路3号,114.29192383541778,30.592653793824528,0.005434164582226231,-0.0024237938245299517
福忠里,福忠里,20世纪20年代,武汉市江岸区大智街道吉庆街94号,第九批,二级,114.291122,30.584831,武汉市江岸区 - 湖北省武汉市江岸区大智街道吉庆街94号,geocode,精确,成功,武汉市江岸区大智街道吉庆街94号,114.28569516208958,30.587266113340583,0.00542683791042009,-0.0024351133405815517
金业里,金业里,20世纪30年代,武汉市金业里1-13号,第九批,二级,114.290198,30.584499,武汉市江岸区 - 湖北省武汉市江岸区金业里1号,geocode,精确,成功,武汉市金业里1-13号,114.28477210827947,30.586935528692273,0.005425891720534537,-0.0024365286922716223
保元里,保元里,1917年,武汉市大智街道汇通路1号,第九批,二级,114.291357,30.585161,武汉市江岸区 - 湖北省武汉市江岸区大智街道汇通路1号,geocode,精确,成功,武汉市大智街道汇通路1号,114.28592989601258,30.58759565670916,0.005427103987429405,-0.0024346567091591
南京路49号,永泰和烟草公司,1920年前后,武汉市南京路49号,第十一批,一级,114.293496,30.582611,武汉市江岸区 - 湖北省武汉市江岸区南京路49号,geocode,精确,成功,武汉市南京路49号,114.28806687565627,30.58504353844111,0.00542912434373477,-0.0024325384411092443
黎黄陂路36号,黎黄陂路36号,1937年以前,武汉市黎黄陂路36号,第十一批,一级,114.298601,30.588409,武汉市江岸区 - 湖北省武汉市江岸区黎黄陂路36号,geocode,精确,成功,武汉市黎黄陂路36号,114.29316549480465,30.590831537781867,0.005435505195350743,-0.0024225377818680727
鄱阳街40号,江汉关职员宿舍,1880年,武汉市鄱阳街40号,第十一批,二级,114.297565,30.583842,武汉市江岸区 - 湖北省武汉市江岸区鄱阳街40号,geocode,精确,成功,武汉市鄱阳街40号,114.29213114028447,30.586267904881097,0.005433859715537892,-0.002425904881096841
五福路86号,五福路86号,1937年以前,武汉市五福路86号,第十一批,二级,114.306037,30.600491,武汉市江岸区 - 湖北省武汉市江岸区五福路86号,geocode,精确,成功,武汉市五福路86号,114.30059070088195,30.60289650986101,0.005446299118048614,-0.002405509861009847
南京路51号,大陆银行,1930年,武汉市南京路51号,第十一批,二级,114.29339,30.58269,武汉市江岸区 - 湖北省武汉市江岸区南京路51号,geocode,精确,成功,武汉市南京路51号,114.28796098309617,30.58512266410863,0.005429016903832462,-0.0024326641086318546
泰兴里,泰兴里,1908年,武汉市泰兴里1-13号、2-16号,第十一批,二级,114.300478,30.589402,武汉市江岸区 - 湖北省武汉市江岸区泰兴里1号,geocode,精确,成功,武汉市泰兴里1-13号、2-16号,114.29504007162089,30.591821144634714,0.00543792837910928,-0.0024191446347145984
